data type,model,MCC Original,MCC Oversampled,weighted f1-score Original,weighted f1-score Oversampled,macro f1-score Original,macro f1-score Oversampled
all,cnn,0.7510192014925571,0.7462218150850821,0.9130283250145861,0.9109074224376511,0.8750375978028837,0.8728842968587435
all,rf,0.7129500105139557,0.7084033916797726,0.8988783830567832,0.8974261047285148,0.8546714558476692,0.8538278103671854
all,svm,0.6833379272949908,0.6800037576013251,0.8864351127718739,0.886488197841624,0.8341896250185072,0.8394051094837172
no_distance,cnn,0.6506708707635769,0.6219889827417812,0.8768876698762409,0.8642326753261832,0.8250448746869841,0.8100749114817863
no_distance,rf,0.6535141892518784,0.6451337991897296,0.8787576159336207,0.8741434398751828,0.8228860346008839,0.8209702203417885
no_distance,svm,0.6356985944061286,0.6285686484075145,0.8743225625516297,0.8651556382785954,0.8144035729247698,0.81384324509592
no_fixation,cnn,0.7240591723931598,0.7012364959148231,0.9037227020029681,0.8956166105092641,0.8612386970219256,0.8500960541736475
no_fixation,rf,0.6983397304688931,0.7086114069023963,0.8939809783863271,0.8974792421746802,0.8465765604074452,0.8540408083700938
no_fixation,svm,0.6594502191205917,0.6652130074775885,0.8811215732949089,0.8769251334132772,0.8233387612304325,0.8307218827873303
no_personality,cnn,0.6497358561548402,0.6340667038444813,0.8757509032035352,0.8666936311657946,0.8244762450012504,0.8152840566326081
no_personality,rf,0.6618464142188674,0.6424367314559911,0.8794100808172398,0.8747749422441271,0.8265686619185187,0.8201477622274973
no_personality,svm,0.6379250917651593,0.627260519010935,0.8736717039182159,0.8669104769309911,0.8148061730640095,0.8132013467579995
no_saccade,cnn,0.5545368335227531,0.4978798359633537,0.8462563531523488,0.8267427676897581,0.770665619633961,0.7468030933588921
no_saccade,rf,0.5631307196037632,0.5864227221716682,0.8481009154557773,0.8514558884398699,0.7748338800453602,0.792149607075075
no_saccade,svm,0.5229264036321639,0.5378225329430136,0.8268189121775118,0.830360979008147,0.7391416031499206,0.766438772413088
no_sensor,cnn,0.7226839105741257,0.7204003002105832,0.9033073008233033,0.9022966391520949,0.8606243973981617,0.859781581054358
no_sensor,rf,0.7113451783610703,0.7145325785959891,0.8979319998541045,0.8994393144231473,0.853410378444266,0.8568202037456739
no_sensor,svm,0.6806134130511892,0.6768700188651039,0.8860519907413599,0.8841826952042758,0.8341306269156846,0.8377063073797786
no_velocity,cnn,0.6404738624463323,0.6138753641451143,0.8739525885254916,0.861356319273889,0.8197187195041783,0.8061247222259293
no_velocity,rf,0.670934371549013,0.6612813747097215,0.882998873499486,0.8811442746393411,0.8315316058643575,0.8291349349577574
no_velocity,svm,0.6412376666222449,0.6220462549628554,0.8744629662851016,0.8669461231973802,0.8156150865633751,0.8105214393632421
