TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
64,292,23,34,0.8619854721549637,0.6051483299292302,0.8014841674748072,0.8590665495607456,1
68,308,21,16,0.910411622276029,0.73001325412968,0.8647328028043092,0.9113632643483565,2
73,292,15,33,0.8837772397094431,0.6824902433395367,0.8383139762495107,0.880040533123695,3
66,292,25,30,0.8668280871670703,0.620260321937342,0.8099051827303692,0.8655687308742228,4
70,305,16,22,0.9079903147699758,0.7286322666325966,0.8639374393119712,0.906865560502963,5
74,294,14,31,0.8910411622276029,0.7010918436674656,0.8478746654224886,0.8877055692926623,6
65,292,19,37,0.864406779661017,0.61728687004557,0.8057123655913979,0.8597525970475671,7
66,294,18,35,0.8716707021791767,0.6361817956737681,0.81541510309061,0.8674762057559064,8
62,306,21,24,0.8910411622276029,0.6654275044254268,0.832617329982978,0.8903228364213165,9
73,301,14,25,0.9055690072639225,0.7307674711303331,0.8641733777459206,0.9035718496994575,10
78,291,15,29,0.8934624697336562,0.7132053967696844,0.8548562300319489,0.8909249704105391,11
74,297,12,30,0.8983050847457628,0.7191119423761614,0.856454816285998,0.894927036170535,12
65,300,20,28,0.8837772397094431,0.6575323529253516,0.8281315022888056,0.8818829167334215,13
71,298,25,19,0.8934624697336562,0.6953857206351948,0.8473454301075269,0.894681422322893,14
62,314,18,19,0.910411622276029,0.7145711694591204,0.8572736188296828,0.9102007571829879,15
61,300,28,24,0.87409200968523,0.6217118549803656,0.8106974120301812,0.8751530071355237,16
69,302,22,20,0.8983050847457628,0.7017322675332913,0.8508255933952529,0.8987126340277414,17
63,302,14,34,0.8837772397094431,0.6587179593166178,0.8252591495663211,0.8788803284003952,18
76,290,18,29,0.8861985472154964,0.6909913758730836,0.8444294839428401,0.8840515392902664,19
76,296,17,24,0.9007263922518159,0.7237153121938564,0.861396917384934,0.8994749998696878,20
65,300,20,28,0.8837772397094431,0.6575323529253516,0.8281315022888056,0.8818829167334215,21
68,303,24,18,0.8983050847457628,0.6999700010721374,0.849615064502705,0.8995482341987769,22
75,280,24,34,0.8595641646489104,0.6288901250359383,0.813651356733881,0.8573245154823236,23
79,285,18,31,0.8813559322033898,0.6869512792295042,0.8420625443874724,0.878876252389764,24
74,305,12,22,0.9176755447941889,0.7624885883633187,0.8801958910654564,0.9160530489617763,25
73,290,26,24,0.8789346246973365,0.6656032808734743,0.832766439909297,0.8793601379211894,26
67,292,21,33,0.8692493946731235,0.630724540871604,0.8140632295071033,0.8663061325309357,27
76,300,13,24,0.910411622276029,0.7485333514198338,0.8730740159311587,0.9085780791073077,28
69,294,19,31,0.8789346246973365,0.6583318998223721,0.8278363236176882,0.8762093819730885,29
63,304,16,30,0.8886198547215496,0.666327283374511,0.8311108740487874,0.8852790840600613,30
