data type,model,MCC Original,MCC Oversampled,weighted f1-score Original,weighted f1-score Oversampled,macro f1-score Original,macro f1-score Oversampled
all,cnn,0.6802810073784393,0.6717225650321824,0.8889411052939146,0.8857536341684359,0.8380801061433213,0.8345529961770018
all,rf,0.6997421613950322,0.6993139486928129,0.893016009818253,0.8918942780082291,0.8474043750229104,0.8487921063277781
all,svm,0.6516982835379866,0.667081775853827,0.879987341286124,0.881500144480478,0.8177356852852976,0.8327025275881714
