TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
61,299,20,33,0.8716707021791767,0.6190466055064755,0.8078648233486944,0.8681855071170076,1
65,300,19,29,0.8837772397094431,0.6582478290579321,0.8281315022888056,0.8814093359894161,2
66,302,17,28,0.8910411622276029,0.6788882203619543,0.8382126348228043,0.8885788156112775,3
63,308,11,31,0.8983050847457628,0.6950503567367823,0.8430851063829787,0.8937973314100253,4
63,303,16,31,0.8861985472154964,0.6610029868418202,0.8281741008595279,0.8825720193182484,5
63,302,17,31,0.8837772397094431,0.6545184207225386,0.8252591495663211,0.8803494017931096,6
68,302,17,26,0.8958837772397095,0.6949614983965855,0.8466579744933643,0.8939904771340809,7
64,296,23,30,0.8716707021791767,0.6259366072014139,0.8125058889031649,0.8698855569510212,8
63,307,12,31,0.8958837772397095,0.6880122745375311,0.8400565597615124,0.8915365758787024,9
62,305,14,32,0.8886198547215496,0.6661894207786235,0.829644906743185,0.8842513400564855,10
65,304,15,29,0.8934624697336562,0.6837433634500816,0.8398208871024611,0.8903202849770172,11
69,304,15,25,0.9031476997578692,0.7156347842325431,0.856776251907338,0.9011744466578465,12
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,13
66,305,14,28,0.8983050847457628,0.6983558348138531,0.8471017558705309,0.8953057265689709,14
66,305,14,28,0.8983050847457628,0.6983558348138531,0.8471017558705309,0.8953057265689709,15
67,301,18,27,0.8910411622276029,0.6806776774133173,0.8395257872604975,0.889059801651945,16
62,307,12,32,0.8934624697336562,0.6799920869297063,0.835612968591692,0.8887400614771691,17
68,307,12,26,0.9079903147699758,0.727580777541396,0.8616634934066709,0.9052766097528785,18
64,300,19,30,0.8813559322033898,0.650066177289433,0.8238315356959425,0.8786747103322798,19
61,307,12,33,0.8910411622276029,0.6719330461101902,0.8311268207136562,0.8859265233178757,20
71,300,19,23,0.8983050847457628,0.7066347223878879,0.8531592848435594,0.8975165118217067,21
64,308,11,30,0.9007263922518159,0.7029919292048304,0.8474957895400467,0.8965813863029486,22
70,297,22,24,0.8886198547215496,0.6808894621258087,0.8404065860215055,0.8881950682131793,23
67,304,15,27,0.8983050847457628,0.6997543635924296,0.8483741258741259,0.8957769349294773,24
66,305,14,28,0.8983050847457628,0.6983558348138531,0.8471017558705309,0.8953057265689709,25
67,298,21,27,0.8837772397094431,0.6624255242944237,0.8308647873865265,0.8824028902984582,26
63,304,15,31,0.8886198547215496,0.6675912139958308,0.8311108740487874,0.8848018311084203,27
67,304,15,27,0.8983050847457628,0.6997543635924296,0.8483741258741259,0.8957769349294773,28
63,306,13,31,0.8934624697336562,0.6810922607082938,0.8370516499282641,0.8892838904888125,29
62,304,15,32,0.8861985472154964,0.6594586984624723,0.8266952368197849,0.8820185626009217,30
